,,Industrial Production Index: Pork NAICS=311611-3pt.: NSA: 2012 = 100: Monthly
2015,8,106.7548
2015,9,109.3318
2015,10,114.2314
2015,11,116.8136
2015,12,114.0603
2016,1,114.6221
2016,2,112.4579
2016,3,110.935
2016,4,110.0434
2016,5,104.993
2016,6,108.4678
2016,7,100.3814
2016,8,111.182
2016,9,114.5749
2016,10,120.9965
2016,11,120.7649
2016,12,116.6809
2017,1,116.215
2017,2,116.9741
2017,3,117.4709
2017,4,114.4743
2017,5,108.6391
2017,6,110.8911
2017,7,102.8914
2017,8,114.6702
2017,9,119.5006
2017,10,125.232
2017,11,121.3862
2017,12,123.4464
2018,1,118.9128
2018,2,121.4653
2018,3,121.7642
2018,4,120.9526
2018,5,112.996
2018,6,111.0576
2018,7,107.53
2018,8,120.4448
2018,9,116.3226
2018,10,127.4544
2018,11,127.2598
2018,12,123.5788
2019,1,123.5555
2019,2,128.24
2019,3,127.2655
2019,4,123.1008
2019,5,115.5875
2019,6,123.1897
2019,7,115.2262
2019,8,120.1249
2019,9,126.8018
2019,10,135.9276
2019,11,134.7613
